FAMILY,CLASS,SAMPLE,CHO.02,CHO.10,CHO.22,CHO.30,CHO.44,CHO.52,CHO.66
CORE DETAILS, 00_CORE,depth,2,10,22,30,44,52,66
CORE DETAILS, 00_CORE,weight,2.55,3.2,3.8,3.29,3.07,3.02,3.7
CORE DETAILS, 00_CORE,LYCO_mean,28569,20408,28569,101023231,28569,101023231,28569
CORE DETAILS, 00_CORE,LYCO_add,2,2,2,2,2,2,2
CORE DETAILS, 00_CORE,LYCO,50,50,52,53,50,53,42
CORE DETAILS, 00_CORE,IND,19,18,22,9,17,12,33
PTERIDOPHYTA,01_PTERID,Pteridophyta (monolete),,7,,,,,
PTERIDOPHYTA,01_PTERID,Pteridophyta (trilete),2,,10,4,4,,4
CYPERACEAE,02_MONOCOTS,Cyperaceae,17,8,23,8,28,10,63
POACEAE,02_MONOCOTS,Poaceae,3,12,24,9,8,16,23
TYPHACEAE,02_MONOCOTS,Typha,,2,1,,5,,1
ASTERACEAE,03_DICOTS,Asteraceae (LS),2,4,1,4,1,2,3
ASTERACEAE,03_DICOTS,Asteraceae (HS),5,8,9,,5,3,8
COMPOSITAE,03_DICOTS,Compositae,,3,3,1,1,,5
COMB-MEL,03_DICOTS,Comb-mel,,,3,1,,,2
ACANTHACEAE,03_DICOTS,Acanthaceae,,,1,,,,1
ALISMATACEAE,03_DICOTS,Alismataceae,,,6,,2,2,2
AQUIFOLIACEAE,03_DICOTS,Aquifoliaceae,,1,,1,,1,
AMARANTHACEAE,03_DICOTS,Amaranthaceae,2,5,1,,3,3,1
MYRTACEAE,03_DICOTS,Syzygium,6,9,9,1,5,4,2
EUPOHORBIA,03_DICOTS,Euphorbia,,,,,,,
PODOCARPACEAE,04_CONIFERS,Podocarpus,,4,4,,2,3,1
PLANTAGINACEAE,03_DICOTS,Plantago,,,1,,,,5
SAPINDACEAE,03_DICOTS,Dodonaea,,,8,,,5,
SIMAROUBACEAE,03_DICOTS,Brucea,,,28,7,26,5,
*HALORAGACEAE,03_DICOTS,Sarcobatus?,,,,,3,1,
URTICACEAE,03_DICOTS,Urticaceae,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCP (UK1),,,,,,,
UNKNOWNS,05_UNKNOWNS,STPR (UK2) - Afraegle?,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCPsm (UK3),,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCP-smooth (UK4),,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCP-small smooth (UK5),,,,,,,
UNKNOWNS,05_UNKNOWNS,4-lobed (UK6),,,,,,,
UNKNOWNS,05_UNKNOWNS,DP-type (UK7),,,,,,,
NPPs,06_NPPS,NPP-bumpy,,,,,,,
NPPs,06_NPPS,NPP-tiny weirdo,,,,,,,
NPPs,06_NPPS,NPP-spikyAF,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
