Core ID,Sample ID,sample depth_from,sample depth_to,cruc #,cruc wt,cruc + wet,cruc + dry,cruc + ash,dry wt,l.o.i. (TOM),cruc + CaCO3 ash,l.o.i. (CaCO3)
Chileche Kao Chare 2,Chileche Kao Chare.C2.0-2cmbs,0,2,A,12.3932,13.4604,12.868,12.781,0.47,18.20,12.765,3.48
Chileche Kao Chare 2,Chileche Kao Chare.C2.4-6cmbs,4,6,B,12.0667,13.5027,12.6863,12.5623,0.62,20.01,12.542,3.36
Chileche Kao Chare 2,Chileche Kao Chare.C2.8-10cmbs,8,10,C,11.2084,12.2182,11.7202,11.6404,0.51,15.59,11.623,3.50
Chileche Kao Chare 2,Chileche Kao Chare.C2.12-14cmbs,12,14,D,11.8584,13.2461,12.8081,12.7089,0.95,10.45,12.684,2.66
Chileche Kao Chare 2,Chileche Kao Chare.C2.16-18cmbs,16,18,E,12.4460,13.7810,13.3592,13.2578,0.91,11.10,13.226,3.50
Chileche Kao Chare 2,Chileche Kao Chare.C2.20-22cmbs,20,22,F,12.2494,14.1969,13.7122,13.5965,1.46,7.91,13.561,2.43
Chileche Kao Chare 2,Chileche Kao Chare.C2.24-26cmbs,24,26,G,12.0580,13.9060,13.4276,13.3124,1.37,8.41,13.276,2.64
Chileche Kao Chare 2,Chileche Kao Chare.C2.28-30cmbs,28,30,H,12.1194,14.0582,13.5350,13.4073,1.42,9.02,13.366,2.89
Chileche Kao Chare 2,Chileche Kao Chare.C2.32-34cmbs,32,34,I,12.0183,13.4843,13.0723,12.9756,1.05,9.17,12.946,2.86
Chileche Kao Chare 2,Chileche Kao Chare.C2.36-38cmbs,36,38,J,11.3200,12.7949,12.4236,12.3231,1.10,9.11,12.290,3.04
Chileche Kao Chare 2,Chileche Kao Chare.C2.40-42cmbs,40,42,K,11.2037,12.7557,12.3476,12.2338,1.14,9.95,12.197,3.26
Chileche Kao Chare 2,Chileche Kao Chare.C2.44-46cmbs,44,46,L,11.3433,12.5164,12.1350,12.0479,0.79,11.00,12.020,3.51
Chileche Kao Chare 2,Chileche Kao Chare.C2.48-50cmbs,48,50,M,12.6406,14.0295,13.5684,13.4661,0.93,11.03,13.435,3.33
Chileche Kao Chare 2,Chileche Kao Chare.C2.52-54cmbs,52,54,N,11.9586,13.2359,12.8747,12.7841,0.92,9.89,12.754,3.29
Chileche Kao Chare 2,Chileche Kao Chare.C2.56-58cmbs,56,58,O,11.2671,12.4733,12.1354,12.0527,0.87,9.52,12.027,2.98
Chileche Kao Chare 2,Chileche Kao Chare.C2.60-62cmbs,60,62,P,12.2540,13.4672,13.1011,13.0155,0.85,10.11,12.988,3.23
Chileche Kao Chare 2,Chileche Kao Chare.C2.64-66cmbs,64,66,Q,11.7786,12.9137,12.4279,12.3476,0.65,12.37,12.325,3.56
Chileche Kao Chare 2,Chileche Kao Chare.C2.68-70cmbs,68,70,R,11.5081,12.4153,11.9975,11.9341,0.49,12.95,11.916,3.78
Chileche Kao Chare 2,Chileche Kao Chare.C2.72-74cmbs,72,74,S,19.4633,20.6324,20.2216,20.1433,0.76,10.33,20.112,4.07
Chileche Kao Chare 2,Chileche Kao Chare.C2.78-80cmbs,78,80,T,11.7165,13.0741,12.6314,12.5425,0.91,9.72,12.511,3.43
Chileche Kao Chare 2,Chileche Kao Chare.C2.80-82cmbs,80,82,U,11.9133,13.6660,13.1454,13.0296,1.23,9.40,12.988,3.34
Chileche Kao Chare 2,Chileche Kao Chare.C2.84-86cmbs,84,86,V,12.0162,13.4875,13.0683,12.9765,1.05,8.73,12.944,3.10
Chileche Kao Chare 2,Chileche Kao Chare.C2.88-90cmbs,88,90,W,11.8696,12.9931,12.7136,12.6446,0.84,8.18,12.619,3.07
Chileche Kao Chare 2,Chileche Kao Chare.C2.92-94cmbs,92,94,X,11.9607,13.5515,13.1518,13.0410,1.19,9.30,13.000,3.45
Chileche Kao Chare 2,Chileche Kao Chare.C2.96-98cmbs,96,98,Y,11.8438,12.9788,12.6357,12.5540,0.79,10.32,12.525,3.67
Chileche Kao Chare 2,Chileche Kao Chare.C2.100-102cmbs,100,102,Z,11.6139,13.2657,12.8539,12.743,1.24,8.94,12.7031,3.22
Chileche Kao Chare 2,Chileche Kao Chare.C2.104-106cmbs,104,106,A1,12.3116,13.6309,13.2699,13.1635,0.96,11.10,13.1241,4.11
Chileche Kao Chare 2,Chileche Kao Chare.C2.108-110cmbs,108,110,B1,11.0144,12.2634,11.875,11.777,0.86,11.39,11.7423,4.03
Chileche Kao Chare 2,Chileche Kao Chare.C2.112-114cmbs,112,114,C1,11.9053,12.9466,12.63,12.5459,0.72,11.60,12.517,3.99
Chileche Kao Chare 2,Chileche Kao Chare.C2.116-118cmbs,116,118,D1,12.1317,13.1399,12.8505,12.7733,0.72,10.74,12.744,4.08
Chileche Kao Chare 2,Chileche Kao Chare.C2.120-122cmbs,120,122,E1,11.3958,12.5271,12.1331,12.0454,0.74,11.89,12.0154,4.07
Chileche Kao Chare 2,Chileche Kao Chare.C2.124-126cmbs,124,126,F1,12.2158,13.6187,13.2465,13.1431,1.03,10.03,13.1048,3.72
Chileche Kao Chare 2,Chileche Kao Chare.C2.128-130cmbs,128,130,G1,12.0885,13.3443,12.9003,12.8048,0.81,11.76,12.7716,4.09
Chileche Kao Chare 2,Chileche Kao Chare.C2.132-134cmbs,132,134,H1,11.8727,13.1297,12.6375,12.536,0.76,13.27,12.5065,3.86
Chileche Kao Chare 2,Chileche Kao Chare.C2.136-138cmbs,136,138,I1,11.7211,12.7722,12.3862,12.3074,0.67,11.85,12.2803,4.07
